row,col,word,value
0,0,Ant,1290.3
0,1,Ant,1290.3
0,2,Socks,1545.8
0,3,Socks,1545.8
0,4,Socks,1545.8
0,5,Alligator,1548.3
0,6,Alligator,1548.3
1,0,Snail,2580.2
1,1,Snail,2580.2
1,2,Turtle,3095.7
1,3,Turtle,3095.7
1,4,Turtle,3095.7
1,5,Pen,1805.7
1,6,Pen,1805.7
2,0,Fifth,3093.0
2,1,Fifth,3093.0
2,2,Switch,4130.6
2,3,Switch,4130.6
2,4,Switch,4130.6
2,5,Switch,4130.6
2,6,Knot,1542.7
3,0,Cow,2064.6
3,1,Cow,2064.6
3,2,Egg,3611.0
3,3,Egg,3611.0
3,4,Elephant,2834.6
3,5,Elephant,2834.6
3,6,Elephant,2834.6
4,0,Hen,2063.8
4,1,Hen,2063.8
4,2,Moon,4643.3
4,3,Moon,4643.3
4,4,Moon,4643.3
4,5,House,1548.5
4,6,House,1548.5
5,0,Mango,5672.9
5,1,Mango,5672.9
5,2,Mango,5672.9
5,3,Mat,3098.0
5,4,Mat,3098.0
5,5,Scissors,1717.8
5,6,Scissors,1717.8
6,0,Grape,1889.1
6,1,Grape,1889.1
6,2,Grape,1889.1
6,3,Fog,1808.3
6,4,Fog,1808.3
6,5,Frog,1134.5
6,6,Frog,1134.5
