timestamp,word,row,col,duration_ms,vel_mean,reversals,zero_crossings,difficulty,is_regression,wpm,path_efficiency
1787510493.650,Alligator,0,6,2058.8,2.914,0,0,1.489,0,1.0,1.000
1787510494.166,Ant,0,0,514.8,1.942,0,0,1.320,0,2.0,1.000
1787510495.198,Snail,1,0,1031.1,0.000,0,0,0.000,0,3.0,1.000
1787510498.812,Ant,0,1,2065.8,0.000,0,0,1.500,1,4.0,1.000
1787510500.875,Socks,0,2,1549.2,0.000,0,0,0.000,0,5.0,1.000
1787510501.392,Fog,6,3,516.9,0.000,0,0,0.000,0,6.0,1.000
1787510502.423,Socks,0,3,1031.0,0.000,0,0,1.500,1,7.0,1.000
1787510503.463,Alligator,0,5,1038.6,0.963,0,0,0.981,1,8.0,1.000
1787510505.521,Socks,0,4,2057.4,0.486,0,0,2.154,1,9.0,1.000
1787510507.589,Alligator,0,5,2067.0,0.000,0,0,1.500,1,10.0,1.000
1787510509.647,Pen,1,6,1547.8,3.876,0,0,1.590,0,11.0,1.000
1787510513.777,Snail,1,0,4129.3,0.484,0,0,0.653,1,12.0,1.000
1787510517.908,Turtle,1,2,4131.1,0.242,0,0,0.390,0,13.0,1.000
1787510520.482,Turtle,1,4,2060.4,0.000,0,0,0.000,1,14.0,1.000
1787510523.065,Pen,1,5,2063.7,0.000,0,0,0.000,1,15.0,1.000
1787510525.125,Knot,2,6,1542.7,0.000,0,0,0.000,0,16.0,1.000
1787510525.641,Cow,3,0,516.0,1.938,0,0,1.319,0,17.0,1.000
1787510526.162,Switch,2,5,1036.6,0.000,0,0,0.000,0,18.0,1.000
1787510528.734,Fish,2,0,3093.0,0.647,0,0,0.785,0,19.0,1.000
1787510535.959,Switch,2,2,7224.7,0.415,0,0,2.087,1,20.0,1.000
1787510538.537,Elephant,3,6,1544.1,3.886,0,0,1.591,0,21.0,1.000
1787510542.150,Cow,3,0,3613.1,0.554,0,0,0.713,1,22.0,1.000
1787510545.762,Egg,3,2,3611.0,0.554,0,0,0.713,0,23.0,1.000
1787510549.887,Elephant,3,4,4125.1,0.242,0,0,0.390,1,24.0,1.000
1787510550.917,Frog,6,6,514.2,0.000,0,0,0.000,0,25.0,1.000
1787510552.465,House,4,6,1548.0,3.876,0,0,1.590,0,26.0,1.000
1787510554.530,Hen,4,0,2065.0,0.000,0,0,0.000,0,25.0,1.000
1787510557.624,Hen,4,1,2062.7,0.485,0,0,0.653,1,25.0,1.000
1787510562.268,Moon,4,2,4643.3,0.431,0,0,0.602,0,22.0,1.000
1787510562.784,Scissors,5,5,516.0,1.938,0,0,1.319,0,23.0,1.000
1787510564.333,House,4,5,1549.0,0.000,0,0,0.000,1,23.0,1.000
1787510568.461,Scissors,5,6,2062.7,0.000,0,0,1.500,1,22.0,1.000
1787510573.103,Grape,6,2,1030.2,0.000,0,0,0.000,0,21.0,1.000
1787510575.166,Mango,5,0,5672.9,0.529,0,0,0.692,0,22.0,1.000
1787510577.228,Alligator,0,5,1028.7,0.000,0,0,0.000,1,22.0,1.000
1787510578.264,Mat,5,3,3098.0,0.646,0,0,0.785,0,23.0,1.000
1787510580.838,Scissors,5,5,2574.6,0.000,0,0,0.000,1,23.0,1.000
1787510583.936,Frog,6,6,2064.8,2.906,0,0,1.488,0,23.0,1.000
1787510585.479,Grape,6,0,1543.0,0.000,0,0,0.000,1,22.0,1.000
1787510585.995,Frog,6,5,516.0,0.000,0,0,1.500,1,23.0,1.000
1787510589.089,Grape,6,1,3094.0,0.323,0,0,1.989,1,22.0,1.000
1787510589.606,Frog,6,5,516.9,0.000,0,0,1.500,1,23.0,1.000
1787510592.705,Fog,6,3,3099.7,0.645,0,0,0.784,0,24.0,1.000
1787510594.767,Frog,6,5,2060.4,0.000,0,0,1.500,1,25.0,1.000
