row,col,word,value
0,0,Ant,4
0,1,Ant,4
0,2,Socks,1
0,3,Socks,1
0,4,Socks,1
0,5,Alligator,5
0,6,Alligator,5
1,0,Snail,1
1,1,Snail,1
1,2,Turtle,1
1,3,Turtle,1
1,4,Turtle,1
1,5,Pen,4
1,6,Pen,4
2,0,Fifth,1
2,1,Fifth,1
2,2,Switch,6
2,3,Switch,6
2,4,Switch,6
2,5,Switch,6
2,6,Knot,1
3,0,Cow,2
3,1,Cow,2
3,2,Egg,1
3,3,Egg,1
3,4,Elephant,4
3,5,Elephant,4
3,6,Elephant,4
4,0,Hen,1
4,1,Hen,1
4,2,Moon,2
4,3,Moon,2
4,4,Moon,2
4,5,House,2
4,6,House,2
5,0,Mango,3
5,1,Mango,3
5,2,Mango,3
5,3,Mat,1
5,4,Mat,1
5,5,Scissors,2
5,6,Scissors,2
6,0,Grape,1
6,1,Grape,1
6,2,Grape,1
6,3,Fog,2
6,4,Fog,2
6,5,Frog,4
6,6,Frog,4
