row,col,word,value
0,0,Ant,0.1781
0,1,Ant,0.1781
0,2,Socks,0.7351
0,3,Socks,0.7351
0,4,Socks,0.7351
0,5,Alligator,0.562
0,6,Alligator,0.562
1,0,Snail,0.7127
1,1,Snail,0.7127
1,2,Turtle,0.7354
1,3,Turtle,0.7354
1,4,Turtle,0.7354
1,5,Pen,0.8354
1,6,Pen,0.8354
2,0,Fifth,0.7126
2,1,Fifth,0.7126
2,2,Switch,0.3478
2,3,Switch,0.3478
2,4,Switch,0.3478
2,5,Switch,0.3478
2,6,Knot,1.4871
3,0,Cow,1.0759
3,1,Cow,1.0759
3,2,Egg,0.785
3,3,Egg,0.785
3,4,Elephant,0.7873
3,5,Elephant,0.7873
3,6,Elephant,0.7873
4,0,Hen,0.7809
4,1,Hen,0.7809
4,2,Moon,0.4219
4,3,Moon,0.4219
4,4,Moon,0.4219
4,5,House,0.6991
4,6,House,0.6991
5,0,Mango,0.8034
5,1,Mango,0.8034
5,2,Mango,0.8034
5,3,Mat,0.8731
5,4,Mat,0.8731
5,5,Scissors,0.7945
5,6,Scissors,0.7945
6,0,Grape,0.8418
6,1,Grape,0.8418
6,2,Grape,0.8418
6,3,Fog,0.4365
6,4,Fog,0.4365
6,5,Frog,0.7726
6,6,Frog,0.7726
