timestamp,word,row,col,duration_ms,vel_mean,reversals,zero_crossings,difficulty,is_regression,wpm,path_efficiency
1786722635.693,House,4,6,1031.7,0.000,0,0,0.000,0,1.0,1.000
1786722645.478,Elephant,3,5,516.7,0.000,0,0,0.000,0,2.0,1.000
1786722646.508,Frog,6,6,1029.3,0.000,0,0,0.000,0,3.0,1.000
1786722648.051,Frog,6,5,2572.7,0.389,0,0,0.560,1,4.0,1.000
1786722649.082,Elephant,3,5,2573.9,0.000,0,0,0.000,1,5.0,1.000
1786722650.111,Elephant,3,4,513.8,0.000,0,0,0.000,1,6.0,1.000
1786722650.628,Cow,3,1,517.3,0.000,0,0,0.000,0,7.0,1.000
1786722651.656,Egg,3,3,1027.5,0.000,0,0,0.000,0,8.0,1.000
1786722652.174,Fog,6,4,4121.9,0.485,0,0,0.653,0,9.0,1.000
1786722653.209,Elephant,3,5,1034.1,0.000,0,0,0.000,1,10.0,1.000
1786722654.230,Egg,3,2,1021.4,0.000,0,0,0.000,1,11.0,1.000
1786722654.749,Elephant,3,5,518.0,0.000,0,0,1.500,1,12.0,1.000
1786722655.779,Cow,3,1,1030.1,0.000,0,0,0.000,1,13.0,1.000
1786722656.294,Frog,6,5,514.9,0.000,0,0,0.000,1,14.0,1.000
1786722656.807,Fifth,2,0,512.7,0.000,0,0,0.000,0,15.0,1.000
1786722657.322,Grape,6,2,5147.5,1.554,1,0,2.217,0,16.0,0.500
1786722657.323,Ant,0,0,516.3,0.000,0,0,0.000,0,17.0,1.000
1786722658.353,Frog,6,6,1030.2,0.000,0,0,0.000,1,18.0,1.000
1786722658.869,Elephant,3,5,1545.8,0.000,0,0,0.000,1,19.0,1.000
1786722659.380,Cow,3,1,511.2,0.000,0,0,0.000,1,20.0,1.000
1786722659.897,Elephant,3,5,515.9,0.000,0,0,1.500,1,21.0,1.000
1786722660.411,Mango,5,1,514.0,0.000,0,0,0.000,0,22.0,1.000
1786722660.928,Scissors,5,5,1031.1,0.000,0,0,0.000,0,23.0,1.000
1786722661.442,Egg,3,3,513.0,0.000,0,0,0.000,1,24.0,1.000
1786722661.954,Scissors,5,6,1543.2,1.296,0,0,2.629,1,25.0,1.000
1786722661.956,Elephant,3,5,513.0,0.000,0,0,0.000,1,26.0,1.000
1786722662.990,Scissors,5,6,1034.3,0.000,0,0,1.500,1,27.0,1.000
1786722663.506,Switch,2,4,516.2,0.000,0,0,0.000,0,28.0,1.000
1786722664.025,Elephant,3,5,518.1,0.000,0,0,0.000,1,29.0,1.000
1786722664.539,Cow,3,1,514.6,0.000,0,0,0.000,1,30.0,1.000
1786722665.053,Egg,3,3,512.7,0.000,0,0,0.000,1,31.0,1.000
1786722665.560,Mat,5,4,3604.0,0.555,0,0,0.714,0,32.0,1.000
1786722666.079,Elephant,3,5,1026.0,0.000,0,0,0.000,1,33.0,1.000
1786722668.138,Mango,5,2,2578.5,0.000,0,0,0.000,1,34.0,1.000
1786722669.166,Elephant,3,5,1027.4,0.000,0,0,1.500,1,35.0,1.000
1786722669.682,Cow,3,1,1543.5,0.000,0,0,0.000,1,36.0,1.000
1786722670.713,Elephant,3,5,1030.0,0.000,0,0,1.500,1,37.0,1.000
1786722672.256,Egg,3,3,1028.1,0.000,0,0,0.000,1,38.0,1.000
1786722673.802,Cow,3,1,1031.5,0.000,0,0,0.000,1,39.0,1.000
1786722676.379,Elephant,3,5,4123.2,0.000,0,0,0.000,1,40.0,1.000
1786722677.411,Cow,3,1,520.0,0.000,0,0,1.500,1,41.0,1.000
1786722678.957,Elephant,3,5,2066.0,0.000,0,0,1.500,1,42.0,1.000
1786722679.987,Cow,3,1,1030.2,0.000,0,0,1.500,1,43.0,1.000
1786722679.987,Mango,5,1,2576.2,0.000,0,0,0.000,1,44.0,1.000
1786722680.505,Egg,3,3,518.5,0.000,0,0,0.000,1,45.0,1.000
1786722681.011,Elephant,3,5,1023.8,0.000,0,0,0.000,1,46.0,1.000
1786722682.562,Mango,5,0,2056.9,0.000,0,0,0.000,1,47.0,1.000
1786722683.589,Cow,3,1,1026.3,0.000,0,0,0.000,1,48.0,1.000
1786722686.160,Elephant,3,5,4117.8,0.486,1,0,1.654,1,49.0,0.000
1786722692.343,Elephant,3,5,5664.4,0.353,1,0,1.522,1,50.0,0.000
1786722693.374,Elephant,3,6,514.0,0.000,0,0,0.000,1,51.0,1.000
1786722693.889,Egg,3,3,1029.0,0.000,0,0,0.000,1,52.0,1.000
1786722696.978,Scissors,5,6,3603.9,0.000,0,0,0.000,1,52.0,1.000
