timestamp,word,row,col,duration_ms,vel_mean,reversals,zero_crossings,difficulty,is_regression,wpm,path_efficiency
1786986994.089,Alligator,0,6,1556.3,0.000,0,0,0.000,0,1.0,1.000
1786986996.663,Ant,0,0,1540.0,0.000,0,0,0.000,0,2.0,1.000
1786986998.733,Alligator,0,6,1552.5,0.000,0,0,1.500,1,3.0,1.000
1786987000.802,Ant,0,1,1553.2,0.000,0,0,1.500,1,4.0,1.000
1786987005.454,Socks,0,2,4140.1,0.242,0,0,0.389,0,5.0,1.000
1786987008.034,Socks,0,4,2069.0,0.000,0,0,0.000,1,6.0,1.000
1786987009.581,Alligator,0,6,1031.9,0.000,0,0,0.000,1,7.0,1.000
1786987010.101,Alligator,0,5,1551.8,0.000,0,0,0.000,1,8.0,1.000
1786987013.200,Pen,1,6,1550.6,0.000,0,0,0.000,0,9.0,1.000
1786987015.269,Snail,1,0,1554.0,0.000,0,0,0.000,0,10.0,1.000
1786987017.332,Turtle,1,2,1032.9,0.000,0,0,0.000,0,11.0,1.000
1786987019.400,Snail,1,1,1034.1,0.000,0,0,1.500,1,12.0,1.000
1786987022.499,Turtle,1,4,1545.9,0.000,0,0,1.500,1,13.0,1.000
1786987024.568,Turtle,1,2,1550.7,0.000,0,0,0.000,1,14.0,1.000
1786987027.150,Turtle,1,4,1554.3,0.643,0,0,0.783,1,15.0,1.000
1786987028.698,Pen,1,5,1547.1,0.000,0,0,0.000,1,16.0,1.000
1786987031.280,Knot,2,6,1546.4,0.000,0,0,0.000,0,17.0,1.000
1786987033.346,Fifth,2,0,1549.5,0.000,0,0,0.000,0,18.0,1.000
1786987035.415,Fifth,2,1,1548.8,0.000,0,0,0.000,1,19.0,1.000
1786987038.519,Switch,2,2,2070.4,0.000,0,0,0.000,0,20.0,1.000
1786987040.589,Switch,2,5,1040.0,0.000,0,0,0.000,1,21.0,1.000
1786987041.615,Switch,2,3,2065.8,0.000,0,0,0.000,1,22.0,1.000
1786987046.268,Switch,2,5,2586.7,1.546,2,0,3.215,1,23.0,0.500
1786987049.362,Switch,2,5,1547.8,0.000,0,0,0.000,1,24.0,1.000
1786987052.463,Elephant,3,6,1548.0,0.000,0,0,0.000,0,25.0,1.000
1786987055.046,Cow,3,0,1544.5,0.000,0,0,0.000,0,25.0,1.000
1786987057.116,Cow,3,1,1549.9,0.000,0,0,0.000,1,25.0,1.000
1786987060.216,Egg,3,2,1547.5,0.000,0,0,0.000,0,24.0,1.000
1786987063.317,Egg,3,3,1549.0,0.000,0,0,0.000,1,25.0,1.000
1786987063.318,Elephant,3,5,1550.0,0.000,0,0,0.000,1,26.0,1.000
1786987065.899,Elephant,3,5,1547.4,0.000,0,0,0.000,1,26.0,1.000
1786987069.514,Elephant,3,5,1544.8,0.000,0,0,0.000,1,25.0,1.000
1786987081.413,House,4,6,2072.8,0.000,0,0,0.000,0,21.0,1.000
1786987084.006,Hen,4,0,2087.0,0.000,0,0,0.000,0,20.0,1.000
1786987092.794,Hen,4,1,1543.6,0.000,0,0,0.000,1,18.0,1.000
1786987104.124,Moon,4,2,1551.8,0.000,0,0,0.000,0,14.0,1.000
1786987107.226,Moon,4,3,2069.5,0.000,0,0,0.000,1,14.0,1.000
1786987109.806,Moon,4,4,2062.9,0.000,0,0,0.000,1,14.0,1.000
1786987112.390,House,4,5,1549.0,0.000,0,0,0.000,1,14.0,1.000
1786987114.975,Scissors,5,6,1550.0,0.000,0,0,0.000,0,15.0,1.000
1786987117.558,Mango,5,0,2069.2,0.000,0,0,0.000,0,14.0,1.000
1786987119.620,Mango,5,1,1545.6,0.000,0,0,0.000,1,15.0,1.000
1786987122.207,Mango,5,2,2072.7,0.000,0,0,0.000,1,15.0,1.000
1786987124.788,Mat,5,3,1549.1,0.000,0,0,0.000,0,14.0,1.000
1786987124.788,Scissors,5,5,1029.8,0.000,0,0,0.000,1,15.0,1.000
1786987126.856,Mat,5,4,1553.2,0.000,0,0,1.500,1,15.0,1.000
1786987129.445,Scissors,5,5,2070.1,0.000,0,0,1.500,1,15.0,1.000
1786987131.504,Frog,6,6,1548.6,3.875,0,0,1.590,0,16.0,1.000
1786987133.570,Grape,6,0,2065.1,0.000,0,0,0.000,0,17.0,1.000
1786987135.636,Grape,6,1,1551.0,0.000,0,0,0.000,1,18.0,1.000
1786987138.215,Grape,6,2,1547.2,0.000,0,0,0.000,1,19.0,1.000
1786987140.800,Fog,6,3,1548.0,0.000,0,0,0.000,0,20.0,1.000
1786987142.868,Fog,6,4,1549.2,0.000,0,0,0.000,1,20.0,1.000
1786987144.934,Frog,6,5,1551.0,0.000,0,0,0.000,1,20.0,1.000
