row,col,word,value
0,0,Ant,3
0,1,Ant,3
0,2,Socks,4
0,3,Socks,4
0,4,Socks,4
0,5,Alligator,4
0,6,Alligator,4
1,0,Snail,2
1,1,Snail,2
1,2,Turtle,3
1,3,Turtle,3
1,4,Turtle,3
1,5,Pen,11
1,6,Pen,11
2,0,Fifth,1
2,1,Fifth,1
2,2,Switch,4
2,3,Switch,4
2,4,Switch,4
2,5,Switch,4
2,6,Knot,1
3,0,Cow,2
3,1,Cow,2
3,2,Egg,2
3,3,Egg,2
3,4,Elephant,6
3,5,Elephant,6
3,6,Elephant,6
4,0,Hen,1
4,1,Hen,1
4,2,Moon,1
4,3,Moon,1
4,4,Moon,1
4,5,House,3
4,6,House,3
5,0,Mango,3
5,1,Mango,3
5,2,Mango,3
5,3,Mat,1
5,4,Mat,1
5,5,Scissors,2
5,6,Scissors,2
6,0,Grape,2
6,1,Grape,2
6,2,Grape,2
6,3,Fog,1
6,4,Fog,1
6,5,Frog,2
6,6,Frog,2
