row,col,word,value
0,0,Ant,1.0069
0,1,Ant,1.0069
0,2,Socks,1.2881
0,3,Socks,1.2881
0,4,Socks,1.2881
0,5,Alligator,1.3456
0,6,Alligator,1.3456
1,0,Snail,1.5445
1,1,Snail,1.5445
1,2,Turtle,1.2173
1,3,Turtle,1.2173
1,4,Turtle,1.2173
1,5,Pen,0.8171
1,6,Pen,0.8171
2,0,Fifth,0.7843
2,1,Fifth,0.7843
2,2,Switch,0.3907
2,3,Switch,0.3907
2,4,Switch,0.3907
2,5,Switch,0.3907
2,6,Knot,1.4885
3,0,Cow,0.0
3,1,Cow,0.0
3,2,Egg,0.75
3,3,Egg,0.75
3,4,Elephant,0.25
3,5,Elephant,0.25
3,6,Elephant,0.25
4,0,Hen,0.7848
4,1,Hen,0.7848
4,2,Moon,2.8929
4,3,Moon,2.8929
4,4,Moon,2.8929
4,5,House,1.0301
4,6,House,1.0301
5,0,Mango,0.1627
5,1,Mango,0.1627
5,2,Mango,0.1627
5,3,Mat,0.5589
5,4,Mat,0.5589
5,5,Scissors,0.7947
5,6,Scissors,0.7947
6,0,Grape,0.3924
6,1,Grape,0.3924
6,2,Grape,0.3924
6,3,Fog,0.8717
6,4,Fog,0.8717
6,5,Frog,0.7438
6,6,Frog,0.7438
