row,col,word,value
0,0,Ant,2582.2
0,1,Ant,2582.2
0,2,Socks,1420.6
0,3,Socks,1420.6
0,4,Socks,1420.6
0,5,Alligator,1548.9
0,6,Alligator,1548.9
1,0,Snail,1806.5
1,1,Snail,1806.5
1,2,Turtle,1720.4
1,3,Turtle,1720.4
1,4,Turtle,1720.4
1,5,Pen,1126.7
1,6,Pen,1126.7
2,0,Fifth,3100.1
2,1,Fifth,3100.1
2,2,Switch,1937.9
2,3,Switch,1937.9
2,4,Switch,1937.9
2,5,Switch,1937.9
2,6,Knot,2061.9
3,0,Cow,1030.8
3,1,Cow,1030.8
3,2,Egg,1549.3
3,3,Egg,1549.3
3,4,Elephant,1376.7
3,5,Elephant,1376.7
3,6,Elephant,1376.7
4,0,Hen,3097.0
4,1,Hen,3097.0
4,2,Moon,6199.0
4,3,Moon,6199.0
4,4,Moon,6199.0
4,5,House,1548.4
4,6,House,1548.4
5,0,Mango,1894.4
5,1,Mango,1894.4
5,2,Mango,1894.4
5,3,Mat,2578.5
5,4,Mat,2578.5
5,5,Scissors,1549.8
5,6,Scissors,1549.8
6,0,Grape,2321.5
6,1,Grape,2321.5
6,2,Grape,2321.5
6,3,Fog,2588.7
6,4,Fog,2588.7
6,5,Frog,1807.7
6,6,Frog,1807.7
